Bloc,Jour,Theme,Italien,Francais,Esempio (IT),Exemple (FR)
Bloc 1 - Socle de terrain,1,Verbes d'action essentiels I (déplacement du patient),arrivare,arriver,Arriviamo sul posto tra due minuti.,Nous arrivons sur place dans deux minutes.
Bloc 1 - Socle de terrain,1,Verbes d'action essentiels I (déplacement du patient),entrare,entrer,Permette che entriamo in casa?,Vous permettez que nous entrions dans la maison ?
Bloc 1 - Socle de terrain,1,Verbes d'action essentiels I (déplacement du patient),uscire,sortir,Usciamo dal palazzo con la barella.,Nous sortons de l'immeuble avec le brancard.
Bloc 1 - Socle de terrain,1,Verbes d'action essentiels I (déplacement du patient),salire,monter,Deve salire in ambulanza con noi.,Vous devez monter dans l'ambulance avec nous.
Bloc 1 - Socle de terrain,1,Verbes d'action essentiels I (déplacement du patient),scendere,descendre,Scendiamo le scale con la sedia portantina.,Nous descendons les escaliers avec la chaise de transport.
Bloc 1 - Socle de terrain,1,Verbes d'action essentiels I (déplacement du patient),sedersi,s'asseoir,"Si sieda qui, per favore.","Asseyez-vous ici, s'il vous plaît."
Bloc 1 - Socle de terrain,1,Verbes d'action essentiels I (déplacement du patient),sdraiarsi,s'allonger,"Si sdrai sulla barella, la aiuto io.","Allongez-vous sur le brancard, je vous aide."
Bloc 1 - Socle de terrain,1,Verbes d'action essentiels I (déplacement du patient),alzarsi,se lever,"Non si alzi da solo, aspetti noi.","Ne vous levez pas seul, attendez-nous."
Bloc 1 - Socle de terrain,1,Verbes d'action essentiels I (déplacement du patient),camminare,marcher,Riesce a camminare fino all'ambulanza?,Arrivez-vous à marcher jusqu'à l'ambulance ?
Bloc 1 - Socle de terrain,1,Verbes d'action essentiels I (déplacement du patient),respirare,respirer,"Respiri profondamente, con calma.","Respirez profondément, calmement."
Bloc 1 - Socle de terrain,2,Verbes d'action II (manutention et brancardage),sollevare,soulever,Solleviamo il paziente al mio tre.,Nous soulevons le patient à mon trois.
Bloc 1 - Socle de terrain,2,Verbes d'action II (manutention et brancardage),spostare,déplacer,Spostiamo il tavolino per passare con la barella.,Déplaçons la petite table pour passer avec le brancard.
Bloc 1 - Socle de terrain,2,Verbes d'action II (manutention et brancardage),girare,"tourner, retourner",Giriamo il paziente sul fianco sinistro.,Nous tournons le patient sur le flanc gauche.
Bloc 1 - Socle de terrain,2,Verbes d'action II (manutention et brancardage),tenere,tenir,Tenga premuto qui sulla ferita.,Maintenez la pression ici sur la plaie.
Bloc 1 - Socle de terrain,2,Verbes d'action II (manutention et brancardage),lasciare,"lâcher, laisser",Non lasci la presa finché non dico io.,Ne lâchez pas prise tant que je ne le dis pas.
Bloc 1 - Socle de terrain,2,Verbes d'action II (manutention et brancardage),spingere,pousser,Spingi la barella verso l'ambulanza.,Pousse le brancard vers l'ambulance.
Bloc 1 - Socle de terrain,2,Verbes d'action II (manutention et brancardage),tirare,tirer,Tira la cinghia per bloccare la barella.,Tire la sangle pour bloquer le brancard.
Bloc 1 - Socle de terrain,2,Verbes d'action II (manutention et brancardage),appoggiare,"poser, appuyer",Appoggi la testa sul cuscino.,Posez la tête sur le coussin.
Bloc 1 - Socle de terrain,2,Verbes d'action II (manutention et brancardage),bloccare,"bloquer, immobiliser",Blocchiamo le ruote prima di caricare.,Nous bloquons les roues avant de charger.
Bloc 1 - Socle de terrain,2,Verbes d'action II (manutention et brancardage),caricare,charger,Carichiamo il paziente e partiamo.,Nous chargeons le patient et nous partons.
Bloc 1 - Socle de terrain,3,L'impératif de terrain (forme de courtoisie *Lei*),Mi scusi,Excusez-moi,"Mi scusi, è Lei che ha chiamato il 144?","Excusez-moi, c'est vous qui avez appelé le 144 ?"
Bloc 1 - Socle de terrain,3,L'impératif de terrain (forme de courtoisie *Lei*),Per favore,S'il vous plaît,Si sieda qui per favore.,Asseyez-vous ici s'il vous plaît.
Bloc 1 - Socle de terrain,3,L'impératif de terrain (forme de courtoisie *Lei*),Mi segua,Suivez-moi,"Mi segua con lo sguardo, senza girare la testa.","Suivez-moi du regard, sans tourner la tête."
Bloc 1 - Socle de terrain,3,L'impératif de terrain (forme de courtoisie *Lei*),Mi guardi,Regardez-moi,Mi guardi negli occhi e mi dica come si chiama.,Regardez-moi dans les yeux et dites-moi votre nom.
Bloc 1 - Socle de terrain,3,L'impératif de terrain (forme de courtoisie *Lei*),Mi dica,Dites-moi,Mi dica esattamente dove sente male.,Dites-moi exactement où vous avez mal.
Bloc 1 - Socle de terrain,3,L'impératif de terrain (forme de courtoisie *Lei*),Stia fermo,Ne bougez pas,"Stia fermo, le metto il collare.","Ne bougez pas, je vous mets le collier."
Bloc 1 - Socle de terrain,3,L'impératif de terrain (forme de courtoisie *Lei*),Non si muova,Ne bougez pas,"Non si muova, sospettiamo una lesione alla schiena.","Ne bougez pas, nous suspectons une lésion au dos."
Bloc 1 - Socle de terrain,3,L'impératif de terrain (forme de courtoisie *Lei*),Faccia piano,Allez-y doucement,Faccia piano quando si gira.,Allez-y doucement quand vous vous retournez.
Bloc 1 - Socle de terrain,3,L'impératif de terrain (forme de courtoisie *Lei*),Respiri,Respirez,"Respiri normalmente, non trattenga il fiato.","Respirez normalement, ne retenez pas votre souffle."
Bloc 1 - Socle de terrain,3,L'impératif de terrain (forme de courtoisie *Lei*),Mi stringa la mano,Serrez-moi la main,Mi stringa la mano più forte che può.,Serrez-moi la main aussi fort que vous pouvez.
Bloc 1 - Socle de terrain,4,Connecteurs logiques I (cause et conséquence),perché,parce que / pourquoi,Ha chiamato perché il dolore non passava.,Il a appelé parce que la douleur ne passait pas.
Bloc 1 - Socle de terrain,4,Connecteurs logiques I (cause et conséquence),quindi,donc,"È diabetico, quindi controlliamo la glicemia.","Il est diabétique, donc nous contrôlons la glycémie."
Bloc 1 - Socle de terrain,4,Connecteurs logiques I (cause et conséquence),però,"mais, pourtant","Respira bene, però è molto pallido.","Il respire bien, mais il est très pâle."
Bloc 1 - Socle de terrain,4,Connecteurs logiques I (cause et conséquence),invece,"en revanche, par contre","Il polso è regolare, la pressione invece è bassa.","Le pouls est régulier, la tension en revanche est basse."
Bloc 1 - Socle de terrain,4,Connecteurs logiques I (cause et conséquence),anche,aussi,Anche il braccio sinistro le fa male?,Le bras gauche vous fait mal aussi ?
